#{"t_start": 1774617788.4858, "env_id": "None"}
r,l,t
-1.2600062,75,10.456503
2.8259597,75,10.458229
-4.020884,75,10.459137
0.4288299,57,10.473569
-0.72665477,75,10.477071
2.4152246,75,10.488317
-1.5237569,72,10.496989
0.43421906,64,10.498074
-0.7351322,69,10.516209
-1.9534597,66,10.516241
0.6621429,51,10.517935
1.3978803,75,10.522996
1.6163679,75,10.541866
0.1848355,75,10.553055
-1.0204127,75,10.561636
-1.8533534,75,10.562556
-0.615324,57,10.567167
3.5742977,68,10.575379
0.24329245,75,10.581174
-3.5026882,75,10.587755
0.07348013,63,10.597307
3.0298805,75,10.618262
-1.9323013,66,10.619255
-1.6068001,51,10.625534
1.3136125,75,10.627913
-2.0121052,75,10.633322
-0.7140168,75,10.641243
1.0764132,61,10.650378
-0.39019156,73,10.652087
-1.9090164,54,10.666423
-1.6118221,54,10.667331
-0.30765203,70,10.687901
-0.62360233,75,10.694909
-0.37071085,61,10.694938
1.0425442,75,10.699277
-0.9940505,57,10.70099
-1.1898729,70,10.713938
-0.554712,68,10.727215
-1.3062499,71,10.729407
-2.178143,75,10.753157
-1.7799144,62,10.755155
-0.5508866,69,10.755183
4.4227653,75,10.760101
0.49321514,75,10.764237
1.7785968,72,10.776681
0.039111912,67,10.785475
-1.5645585,75,10.794007
0.40122318,69,10.814791
0.47104478,75,10.81829
-1.3826773,75,10.820116
-2.0049489,71,10.822132
-0.9049817,75,10.829882
2.2727256,75,10.842675
0.5142414,75,10.851511
0.85961545,73,10.858446
0.5996504,63,10.874075
-2.6461043,71,10.877549
-2.1848655,54,10.877571
-2.3456802,75,10.886333
-0.087797284,75,10.888303
-3.0194528,68,10.902295
3.1388226,61,10.912635
0.17974633,75,10.917753
-1.6883273,57,10.927953
2.9547067,68,10.9376
0.31685334,74,10.939247
-1.7429671,42,10.939264
-4.435051,61,10.940093
-0.26685816,46,10.951821
-6.0234766,75,10.953572
0.3031866,54,10.963239
-0.13603503,59,10.989027
-0.7570266,75,10.99156
2.0456636,75,11.001445
1.8766351,75,11.003163
0.8826809,75,11.004477
1.0873259,60,11.016345
0.16164231,75,11.017184
-0.34147745,75,11.019123
0.36347866,48,11.036889
0.6196482,43,11.058217
-1.786616,75,11.060728
-3.75141,65,11.06543
-2.955332,64,11.066648
-1.2134972,72,11.075357
-0.26192945,70,11.086081
0.7850147,75,11.092816
2.576969,75,11.110941
1.0314643,70,11.126717
-0.20525369,70,11.132716
-2.5873685,75,11.133699
-1.671437,75,11.13958
1.7659585,75,11.148053
-0.58598405,65,11.149809
-0.6409694,58,11.149828
-3.301311,75,11.179039
4.65521,70,11.188794
-1.0394673,64,11.193849
-0.5416611,75,11.198083
-4.9912972,75,11.198988
-0.36344656,66,11.202963
3.9846182,65,11.203829
-0.6075862,75,11.212461
-3.630713,66,11.235651
-0.5720871,56,11.242844
0.28013736,63,11.243647
-0.31747764,68,11.264262
-0.8422775,75,11.264298
1.5138128,75,11.265293
0.56520927,75,11.26955
5.446957,69,11.27415
-0.7486249,64,11.300309
-0.6772612,75,11.30199
0.73955613,43,11.302006
-3.5591302,75,11.308711
4.4891224,70,11.324607
-1.3781476,64,11.32868
-0.9359981,75,11.329531
-1.9059292,75,11.333753
1.321773,46,11.33879
-2.154275,75,11.365844
2.326389,75,11.365875
2.103619,75,11.372467
-4.347157,65,11.384948
0.5482434,75,11.388939
-1.5318193,63,11.393145
-3.128149,75,11.393167
0.029760897,75,11.398804
-0.10506809,75,11.433022
0.3206972,75,11.433056
-0.19616015,74,11.439982
-0.6990872,67,11.447624
-1.9468071,67,11.450976
0.4823044,70,11.458072
-3.1859872,75,11.463863
1.2491174,75,11.469247
